frequency,raw,smoothed
13270.49,-15.48,-7.25
13403.2,-15.21,-7.28
13537.23,-14.36,-7.31
13672.6,-13.23,-7.34
13809.33,-11.87,-7.37
13947.42,-10.4,-7.39
14086.9,-9.03,-7.41
14227.77,-7.72,-7.43
14370.04,-6.85,-7.45
14513.74,-6.51,-7.46
14658.88,-6.72,-7.47
14805.47,-6.86,-7.48
14953.52,-6.89,-7.48
15103.06,-6.53,-7.48
15254.09,-5.98,-7.48
15406.63,-5.09,-7.47
15560.7,-4.08,-7.47
15716.3,-2.86,-7.46
15873.47,-1.58,-7.44
16032.2,-0.42,-7.43
16192.52,0.22,-7.41
16354.45,0.03,-7.39
16517.99,-0.72,-7.36
16683.17,-2.1,-7.34
16850.01,-3.49,-7.31
17018.51,-4.85,-7.27
17188.69,-5.99,-7.24
17360.58,-6.91,-7.2
17534.18,-7.55,-7.16
17709.53,-7.61,-7.12
17886.62,-6.57,-7.07
18065.49,-5.04,-7.02
18246.14,-3.24,-6.97
18428.6,-2.95,-6.91
18612.89,-3.58,-6.85
18799.02,-4.82,-6.79
18987.01,-6.19,-6.73
19176.88,-7.36,-6.66
19368.65,-8.49,-6.59
19562.33,-9.75,-6.52
19757.96,-11.29,-6.44
19955.54,-12.83,-6.37
